deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
07897313-f405-40af-b47f-959df6697b1a,147154ef-e379-4d21-a40d-9841a31e7118,OF 99_26,-38.011323,177.032383,,2024-10-09T22:43:00+00:00,2024-10-23T22:53:00+00:00,,,,300,,,,,,,,,,,,
0b902bd5-f212-466f-88d3-cca15c4e65c0,f1a01e77-3a98-41a1-a083-2f5c61ecbd3d,OF 1_2,-38.020694,177.030699,,2024-10-24T11:53:33+00:00,2024-11-18T14:36:07+00:00,,,,300,,,,,,,,,,,,
0cf96fb0-5276-4b2a-b560-447455e05c4f,bd28010b-b016-47d3-b57c-a0265c99883a,OF 99_05,-38.015595,177.030672,,2024-10-10T11:52:19+00:00,2024-10-24T12:59:35+00:00,,,,300,,,,,,,,,,,,
0f5117c4-0432-4f37-bccd-416c52122b69,d289ba5b-72c9-473f-b439-aaa4f178b221,OF 1_3,-38.019305,177.032176,,2025-05-10T13:07:38+00:00,2025-05-31T10:21:00+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
10ded9ae-db9e-41e7-8063-96a2dd01f642,41375e43-38ac-4d70-893e-efba6f4f9606,OF 1_4,-38.017914,177.033626,,2025-02-01T11:18:40+00:00,2025-02-24T11:02:19+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
1401e19d-02ba-44f7-886d-bbbbb9e357fc,d289ba5b-72c9-473f-b439-aaa4f178b221,OF 1_3,-38.019305,177.032176,,2024-10-24T12:19:42+00:00,2024-11-18T14:45:00+00:00,,,,300,,,,,,,,,,,,
175707a2-c9cc-43db-be74-e26fe5c90b01,f1a01e77-3a98-41a1-a083-2f5c61ecbd3d,OF 1_2,-38.020694,177.030699,,2025-11-23T09:47:00+00:00,2025-12-14T10:14:04+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
1c69bb2f-7a97-46c2-8c3a-6ae5dc551171,d289ba5b-72c9-473f-b439-aaa4f178b221,OF 1_3,-38.019305,177.032176,,2025-02-01T10:59:59+00:00,2025-02-24T10:47:58+00:00,Thomas Armstrong,,,300,,,,,,,,,,,,
1e87f7a6-5477-4f22-a09b-667af67bfcd6,d0d905d0-b79a-482b-b533-964282cdb4ce,OF 1_1,-38.022087,177.029266,,2024-10-24T11:37:41+00:00,2024-11-18T14:17:20+00:00,,,,300,,,,,,,,,,,,
1f08836c-ad6f-4025-abef-f830dc6412d3,a507f120-9ccb-4763-b43a-376d3c9eb51a,OF 99_22,-38.010783,177.02494,,2024-10-10T10:32:05+00:00,2024-10-23T14:32:03+00:00,,,,300,,,,,,,,,,,,
2138bf31-ee86-48d1-ae20-8b0d3392bbf1,5c38f3a5-cda6-418f-a7b9-920b4d9cd1e4,OF 99_01B,-38.01003,177.008083,,2024-10-10T14:06:04+00:00,2024-10-24T14:23:37+00:00,,,,300,,,,,,,,,,,,
28ffbba9-2957-4d22-bb25-f6625dbfef98,edde51c5-e9cf-44b5-a88c-43a2a7c2d9b4,OF 99_18,-38.011877,177.034533,,2024-10-10T11:58:16+00:00,2024-10-24T12:27:20+00:00,,,,300,,,,,,,,,,,,
2d2048c3-3d02-4692-9d7b-40a6d194f680,f1a01e77-3a98-41a1-a083-2f5c61ecbd3d,OF 1_2,-38.020694,177.030699,,2025-08-30T12:31:30+00:00,2025-09-20T10:17:24+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
38e17f02-4e87-44b0-9474-c0301f89f4b4,2f630757-7205-4eeb-a5cd-2d0576a9ae11,OF 99_13,-38.019633,177.022083,,2024-10-10T10:49:48+00:00,2024-10-24T13:13:39+00:00,,,,300,,,,,,,,,,,,
3b2b5f85-f2fc-438d-a8eb-7b1d93c65ac4,d0d905d0-b79a-482b-b533-964282cdb4ce,OF 1_1,-38.022087,177.029266,,2025-11-23T10:05:46+00:00,2025-12-14T10:29:20+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
