trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,latitude,longitude
3688, FRKAT01 ,125,818,1,NULL,NULL,NULL,11,NULL,NULL,NULL,,
3689, FRKAT02,125,819,1,NULL,NULL,NULL,11,NULL,NULL,NULL,,
3699,AC1,193,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
3700,AC2,193,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
3701,AC3,193,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
3702,AC4,193,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
3703,AC5,193,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
482,AP01,20,343,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.974515,177.019872
483,AP02,20,344,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.975195,177.019542
484,AP03,20,345,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.975784,177.018763
485,AP04,20,346,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.976455,177.01806
486,AP05,20,347,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.977261,177.017514
487,AP06,20,348,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.978008,177.017593
488,AP07,20,349,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.978668,177.018086
489,AP08,20,350,1,NULL,NULL,1021,1,NULL,NULL,NULL,-37.979374,177.017604
490,AP09,20,351,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.979918,177.016777
491,AP10,20,352,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.980427,177.017016
492,AP11,20,353,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.981267,177.017466
493,AP12,20,354,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.982166,177.01735
494,AP13,20,355,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.983021,177.017654
495,AP14,20,356,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.983905,177.017769
496,AP15,20,357,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.984555,177.017266
497,AP16,20,358,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.984942,177.016182
498,AP17,20,359,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.985735,177.016029
499,AP18,20,360,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.986214,177.016743
500,AP19,20,361,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.986697,177.017167
501,AP20,20,362,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.988427,177.017316
421,AP21,20,372,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.989424,177.017163
420,AP22,20,371,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.990279,177.017448
419,AP23,20,370,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.990799,177.017663
418,AP24,20,369,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.991574,177.017334
