trapdata_id,date,trap_id,outcome_id,baitchange,volunteer_id,bait_id,location,created,data_source_id,easting,northing,latitude,longitude,bait_outcome_id,trapdata_bait_id,trapdata_guid,version,baitstatus
227859,29/03/2025,2,4,NULL,6108,2,NULL,"Friday, 28 March 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
237093,22/12/2025,4,3,NULL,7454,6,NULL,"Wednesday, 24 December 2025",2,NULL,NULL,NULL,NULL,2,NULL,28D52481-0357-4F36-8213-604BEBC4F7CC,10,"Egg,Erayz"
212868,22/03/2024,5,4,NULL,6108,2,NULL,"Thursday, 21 March 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
226193,16/02/2025,5,4,NULL,6108,2,NULL,"Tuesday, 25 February 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
220668,6/10/2024,8,3,NULL,6410,2,NULL,"Saturday, 5 October 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,"Salted Rabbit,Ping Pong,Rabbit & Ping Pong"
222095,4/11/2024,8,3,NULL,6410,2,NULL,"Monday, 11 November 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
222905,17/11/2024,8,3,NULL,6410,2,NULL,"Sunday, 1 December 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
215786,24/05/2024,8,4,NULL,6386,2,NULL,"Thursday, 23 May 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,"Salted Rabbit,Fresh rabbit"
212218,29/02/2024,8,4,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
206287,1/09/2023,8,4,NULL,6122,2,NULL,"Thursday, 31 August 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
207057,29/09/2023,8,4,NULL,6122,2,NULL,"Thursday, 28 September 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
207920,26/10/2023,8,4,NULL,6122,2,NULL,"Wednesday, 25 October 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
208830,24/11/2023,8,3,NULL,6122,2,NULL,"Thursday, 23 November 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
231939,22/07/2025,8,4,NULL,6425,2,NULL,"Tuesday, 5 August 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
232511,26/08/2025,8,3,NULL,6425,2,NULL,"Tuesday, 26 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
231940,22/07/2025,9,3,NULL,6425,2,NULL,"Tuesday, 5 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
230603,24/06/2025,9,4,NULL,6425,10,NULL,"Monday, 23 June 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Fresh rabbit
210832,25/01/2024,9,4,NULL,6122,2,NULL,"Wednesday, 24 January 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
212219,29/02/2024,9,3,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
212220,29/02/2024,10,3,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
207059,29/09/2023,10,4,NULL,6122,2,NULL,"Thursday, 28 September 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
230604,24/06/2025,10,4,NULL,6425,10,NULL,"Monday, 23 June 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh rabbit
