outcome_id,description,orderby,basecol,kill,hide_on_new,hide_on_old,,,,bait_outcome_id,bait_outcome_desc,,,,trap_type_id,trap_type_desc
1,Stoat ? sex,22,stoats,1,NULL,NULL,,,,1,Gone,,,,1,DOC200
2,Weasel ? sex,28,weasels,1,NULL,NULL,,,,2,OK,,,,2,DOC250
3,Sprung,19,sprung,0,NULL,NULL,,,,3,Nibbled,,,,3,A24
4,Rat,18,rats,1,NULL,NULL,,,,,,,,,4,Live Trap
5,Cat ? sex,5,cats,1,NULL,NULL,,,,,,,,,11,SA2 Trap
6,Rabbit,17,rabbits,1,NULL,NULL,,,,,,,,,,
7,Hedgehog,12,hedgehogs,1,NULL,NULL,,,,,,,,,,
8, Still set,1,NULL,0,NULL,NULL,,,,,,,,,,
9,Stoat Female,21,NULL,1,NULL,NULL,,,,,,,,,,
10,Ferret ? sex,11,ferrets,1,NULL,NULL,,,,,,,,,,
11,Mouse,13,mouse,1,NULL,NULL,,,,,,,,,,
12,bait gone,12,bait_gone,0,1,NULL,,,,,,,,,,
13,sprung & bait gone,13,sprung_and_bait_gone,0,1,NULL,,,,,,,,,,
14,Other,15,other,1,NULL,NULL,,,,,,,,,,
15,Possum,16,possums,1,NULL,NULL,,,,,,,,,,
1009,Mustelid,14,mustelid,1,NULL,NULL,,,,,,,,,,
1010,weka,29,weka,1,1,NULL,,,,,,,,,,
1011,Bird,2,bird,1,NULL,NULL,,,,,,,,,,
1025,Stoat Juvenile ? sex,25,NULL,1,NULL,NULL,,,,,,,,,,
1026,Stoat Male,20,NULL,1,NULL,NULL,,,,,,,,,,
1027,Stoat Juvenile Male,23,NULL,1,NULL,NULL,,,,,,,,,,
1028,Stoat Juvenile Female,24,NULL,1,NULL,NULL,,,,,,,,,,
1029,Weasel Male,26,NULL,1,NULL,NULL,,,,,,,,,,
1030,Weasel Female,27,NULL,1,NULL,NULL,,,,,,,,,,
1031,Ferret Male,9,NULL,1,NULL,NULL,,,,,,,,,,
1032,Ferret Female,10,NULL,1,NULL,NULL,,,,,,,,,,
1033,Cat Male,3,NULL,1,NULL,NULL,,,,,,,,,,
1034,Cat Female,4,NULL,1,NULL,NULL,,,,,,,,,,
1035,Cat Juvenile Male,6,NULL,1,NULL,NULL,,,,,,,,,,
1036,Cat Juvenile Female,7,NULL,1,NULL,NULL,,,,,,,,,,
1037,Cat Juvenile ? sex,8,NULL,1,NULL,NULL,,,,,,,,,,
