trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,trapcode,long,lat,ele,project_id2,easting,northing,line_id3,code4,name5,project_id6,associated_cat_traps,Reserve/Area
3688, FRKAT01 ,125,818,1,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,FR,Free Ranging Line,1,NULL,
3689, FRKAT02,125,819,1,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,FR,Free Ranging Line,1,NULL,
3753,AP31a,192,372,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192,AF,AP traps on Farm,1,0,Farm Block
345,BA01,7,124,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
346,BA02,7,125,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
347,BA03,7,126,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
348,BA04,7,127,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
349,BA05,7,128,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
351,BA06,7,129,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,BA,Big Al,1,NULL,Farm Block?
3737,BD18,133,841,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133,BD,BD Line,1,NULL,OSR
3736,BS27,1,27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,BS,Burma South,1,NULL,Farm Block
977,CAT01,63,667,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
978,CAT02,63,668,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
979,CAT03,63,669,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
980,CAT04,63,670,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
981,CAT05,63,671,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1719,CAT06,63,672,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1720,CAT07,63,673,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1721,CAT08,63,674,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1722,CAT09,63,675,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1806,CAT10,63,676,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
1807,CAT11,63,677,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2010,CAT12,63,678,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2011,CAT13,63,679,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2012,CAT14,63,680,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2013,CAT15,63,681,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2014,CAT16,63,682,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2027,CAT17,63,683,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2028,CAT18,63,684,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2052,CAT19,63,685,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2229,CAT20,63,686,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2230,CAT21,63,687,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2231,CAT22,63,688,1,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,Cats,Cat Traps,1,NULL,
2490,FR12,125,817,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,FR,Free Ranging Line,1,NULL,
3690,HB1,191,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3691,HB2,191,2,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
